Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail
A. Stelzl;Schlossberg 87;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 441;info@weingutstelzl.at
Adam;Fötschach 34;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 314;
Adam Amandus & Carmen;Kranach 37;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 650 2033040;info@amandus.at
Adam-Lieleg;Kranach 78;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 650 7406175;weingut@adam-lieleg.at
Adam-Schererkogl;Steinbach 53;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 4082025;weingut@adam-schererkogl.at
Aera Vinum Wein AG;Gamlitzerstr. 103;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2880;info@aeravinum.com
Affenberger;Prebensdorfberg 24;8211;Prebensdorf;AT;Steiermark;Vulkanland Steiermark;+43 3113 2984;
Albert;Gauitsch 19;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2239;cramer@weingut-albert.at
Albrecher Herbert;Schloßberg 24;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 453;info@weingut-albrecher.at
Altenbacher;Tieschen 42;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 7285;info@weingut-altenbacher.at
Weingut Amesch;Kranach 41;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 3035335;info@weingut-amesch.at
Amtmann;Hofberg 60;8333;Riegersburg;AT;Steiermark;Vulkanland Steiermark;+43 3153 7565;info@amtmann-urlaub.at
Andreas & Elisabeth Tscheppe;Glanz 14;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 59861;office@at-weine.at
Assigal;Karnerweg 3;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 86811;weingut@assigal.at
